Basketball Players New2 - Person → Positionnew,Basketball Players New2 - Person → Height Ft In,Player Eligibility 2024 - Name → Eligibility Year,Basketball Conferences Tiers - Conference → Conference Name,Basketball Conferences Tiers - Conference → Conf Tier,Overall Dataset - Person → Pts/100 Poss,Dataset for conditionals - Person → 3fg% Conditional,Overall Dataset - Person → Reb/100 Poss,Overall Dataset - Person → Blk/40,Dataset for conditionals - Person → Blk/40 Conditional,Dataset for conditionals - Person → A:to Conditional,Dataset for conditionals - Person → 3fg/fga,Tv Name,Name,Dataset for conditionals - Person → Rebs/100 Conditional,Dataset for conditionals - Person → 3fga/fga Conditional,Dataset for conditionals - Person → Ft% Conditional,Dataset for conditionals - Person → Pts/100 Conditional,Basketball Teams - Team → Team Name,Assists Turnover Ratio,Three Pointers Percentage,Free Throws Percentage
1,"6' 01""",1.0,AAC,Mid,16.418769359738665,0,2.736461559956444,0.0,,0,0.8571428571428571,,Logan Bourgeois,,1,0,0,East Carolina,0.0,0.333333,0.0
3 | 4,"6' 07""",,America East,Low,,0,,0.0,0,0,,,Mike Walker,,,0,,UAlbany,0.0,0.0,0.0
1,"0' 00""",,SWAC,Other,30.879516964067935,0,17.64543826518168,0.0,,0,0.0,,Stephon Smith,,0,1,0,Mississippi Val.,0.0,0.0,0.75
1 | 2,"6' 04""",4.5,Sun Belt,Mid,19.201080347477543,0,6.541027371118724,0.5739224015949331,,0,0.47435897435897434,,Maxwell Land,,1,1,0,South Alabama,0.583333,0.243243,0.769231
2 | 3,"6' 06""",3.0,ACC,High,20.472325873555246,1,8.404428516512153,0.7219188597516849,,0,0.5082644628099173,,Kowacie Reeves Jr.,1,1,1,1,Georgia Tech,0.69697,0.382114,0.833333
2 | 3,"6' 06""",3.0,ACC,High,20.472325873555246,1,8.404428516512153,0.7219188597516849,,0,0.5082644628099173,,Kowacie Reeves Jr.,1,1,1,1,Georgia Tech,0.69697,0.382114,0.833333
3 | 4,"6' 07""",1.0,AAC,Mid,7.939422208548773,0,9.527306650258527,0.0,0,0,0.4444444444444444,,Bencao Vungo,1,1,0,0,East Carolina,0.0,0.25,0.0
2 | 3,"6' 05""",1.0,WAC,Mid,19.20917759695396,0,9.60458879847698,0.7576953385465173,,0,0.6521739130434783,,Chauncey Gibson,1,1,0,1,UT Arlington,0.6,0.266667,0.0
3 | 4,"6' 08""",2.0,Southland,Other,,0,,0.9049432584881818,0,0,0.0,,Marcus Glover,,0,0,,UIW,0.222222,0.0,0.483871
1,"6' 01""",1.0,Big 12,High,0.0,0,0.0,0.0,,0,0.0,,Aden Tagaloa-Nelson,,0,0,0,West Virginia,0.0,0.0,0.0
1 | 2,"6' 02""",2.0,NEC,Low,124.9024199843872,0,0.0,0.0,,0,0.0,,Damien Mazil,,0,0,1,Wagner,0.0,0.0,0.0
2 | 3,"6' 05""",4.5,OVC,Low,25.349599742731755,0,9.961663796664554,1.1759622628257669,,1,0.28052805280528054,,Kyndall Davis,0,0,0,0,Eastern Ill.,1.216216,0.258824,0.641791
3 | 4,"6' 08""",3.0,WAC,Mid,18.718782965512574,0,11.255738776648084,0.5994904348432131,0,1,0.26573426573426573,,Jamari Sibley,1,0,1,0,Southern Utah,1.25,0.289474,0.75
4 | 5,"7' 01""",3.0,AAC,Mid,36.82974859556871,,16.03591924496054,2.36133316354364,1,,0.0,,Vladislav Goldin,0,0,1,1,Fla. Atlantic,0.456522,0.0,0.671233
1 | 2,"6' 03""",,SWAC,Other,6.80699330362763,0,10.696703762843418,0.6320779496225657,,0,0.42857142857142855,,Markell  Petro,,1,1,0,Mississippi Val.,0.5,0.0,0.833333
1,"5' 11""",1.0,WAC,Mid,13.34148631562081,0,7.623706466069033,0.0,,0,0.38461538461538464,,Hayden Ledbetter,,0,0,0,Southern Utah,1.75,0.0,0.5
1,"6' 00""",3.0,WAC,Mid,0.0,0,0.0,0.0,,0,1.0,,Cade Brazier,,1,0,0,Southern Utah,0.0,0.0,0.0
1,"5' 11""",2.0,ASUN,Low,16.45104754624755,0,2.006225310517994,0.0,,0,0.4782608695652174,,Cyncier Harrison,,1,1,0,Stetson,1.266667,0.30303,0.896552
3 | 4,"6' 07""",5.0,CUSA,Mid,0.0,0,9.643201542912248,0.0,0,0,0.0,,Christopher Biekeu,1,0,0,0,New Mexico St.,0.0,0.0,0.0
3 | 4,"6' 07""",5.0,CUSA,Mid,0.0,0,9.643201542912248,0.0,0,0,0.0,,Christopher Biekeu,0,0,0,0,New Mexico St.,0.0,0.0,0.0
1,"6' 01""",4.5,SWAC,Other,29.877685970921803,1,6.308834089477512,0.0809435317140511,,0,0.365,,Jalen Speer,,0,1,0,Florida A&M,0.967742,0.424658,0.727273
3 | 4,"6' 08""",4.5,WCC,Mid,23.929421559018124,1,14.03268548214026,0.4387060619153323,0,0,0.49236641221374045,,Alex Merkviladze,1,1,1,1,LMU (CA),0.783784,0.356589,0.738095
4 | 5,"6' 11""",4.5,OVC,Low,,,,2.9388260125559715,1,,0.005434782608695652,,Drew Cisse,,0,0,,Western Ill.,1.112903,0.0,0.402985
1 | 2,"6' 04""",2.0,Summit League,Mid,,0,,0.33601444720996937,,0,0.3125,,Ja'Sean Glover,,0,1,,Omaha,1.0,0.133333,0.8
2 | 3,"6' 06""",3.0,DI Independent,Other,32.492446591316025,1,8.061103161967715,0.6448882529574173,,0,0.286783042394015,,Wesley Cardet,0,0,1,0,Chicago St.,0.840909,0.356522,0.71123
1,"5' 11""",4.5,SoCon,Other,8.29800908552417,0,19.915221805258007,0.0,,1,0.0,,Paulie Stramaglia,,0,1,0,Samford,11.0,0.0,0.75
2 | 3,"6' 05""",1.0,SoCon,Other,18.901253090445604,1,6.371208906891777,0.4650982502030997,,0,0.352112676056338,,Lukas Walls,0,0,1,0,Samford,0.789474,0.44,0.833333
1,"6' 00""",5.0,Mountain West,Mid,20.492657073176535,0,5.641965713184678,0.12840335761040994,,1,0.44285714285714284,,Isaiah Hill,,1,1,0,Fresno St.,2.75,0.322581,0.819672
1 | 2,"6' 03""",2.0,CUSA,Mid,13.744221140635796,0,4.478454079533012,0.4262252848107281,,0,0.5652173913043478,,Anthony Wrzeszcz,,1,1,0,Sam Houston,1.071429,0.307692,0.7
3 | 4,"6' 07""",5.0,Atlantic 10,Mid,20.95774484722361,1,12.210164389252016,0.9913924519034473,0,1,0.2967032967032967,,Andrei Savrasov,1,0,0,0,Duquesne,1.615385,0.333333,0.529412
2 | 3,"6' 06""",5.0,MEAC,Other,0.0,0,10.473946059177795,0.0,,0,1.0,,Daiquan Copeland,0,1,0,0,Coppin St.,0.0,0.0,0.0
1,"6' 01""",4.5,Horizon,Low,23.46429376578333,0,5.115761722191133,0.04638290628119961,,1,0.5787965616045845,,Drew Lowder,,1,1,0,Cleveland St.,2.128205,0.341584,0.795455
3 | 4,"6' 08""",3.0,Ivy League,Low,27.487685577277755,0,15.96970935852127,1.3934631351771654,1,0,0.20677966101694914,,Nana Owusu-Anane,0,0,1,0,Brown,0.979167,0.311475,0.681159
2 | 3,"6' 06""",4.5,ACC,High,17.322433022786374,0,11.163345725795663,2.350076746758018,,1,0.5306122448979592,,Zack Austin,0,1,1,0,Pittsburgh,2.6,0.269231,0.74
4 | 5,"6' 10""",5.0,Big Sky,Low,17.09132390491483,,10.14797356854318,1.8159531648972005,1,,0.1,,John Olmsted,0,0,1,0,Montana St.,0.857143,0.0,0.666667
3 | 4,"6' 08""",3.0,ACC,High,21.54271924805727,1,21.12031298829144,0.8490365821293159,0,1,0.18181818181818182,,Ian Schieffelin,0,0,1,0,Clemson,1.638889,0.533333,0.746032
